joc_id,comment
NBE00014,"I feel less safe after the rocket failed. North Korea will find out why the rocket failed and they will learn to launch a rocket successfully . Next time, they might do better so I don't feel safe."
NBE00015,"North Korea I was reaffirmed that it is a very dangerous country by this time of missile launch. I do not know whether the missile is fired, I think, need to be more cautious because they may be fired missile to Japan time."
NBE00016,"I am relieved that there was no damage and victim. However, I think that North Korea fires the rocket again. Other countries should pay attention to North Korea more."
NBE00017,"When I heard the news for the first time, I didn't worry about it and I thought that everyone too made a fuss about it. However I heard that rocket debris crashed off Kunsan, I felt fear suddenly. I reconfirm North Korea is very dangerous, so the nation of North Korea had better purge Kim family its government. the nation of North Korea had better purge Kim family FROM its government"
NBE00018,the nation of North Korea had better purge Kim family FROM its government
NBE00019,"North Korea is wasting its money. They should use the money for food to save its citizens, not for launching missiles. It is very dangerous that North Korea is still considering to continue on inventing weapons. Countries like America, Korea and Japan should keep on putting on pressure to North Korea, and should keep on working persuading North Korea to stop making weapons. In order to persuade North Korea, we need more help especially from China."
NBE00020,"I deeply regret that North Korea launched the rocket. This country spend much money on arms not on food for its people. Furthermore, the US heard the launch and decided to stop the support of food. I worry about the life of North Korea's citizens. I strongly believe that North Korea should abolish dictatorship as soon as possible. I hope that North Korea gets the democratic government and society."
NBE00021,"First , I was relieved that no one was injured in this rocket launch. But I have strong anxiety about the future of Japan and North Korea. The people of North Korea are under bad food condition. And Japan government is not ready for North Korea's military action. We must think about the future of East Asia and act for peace."
NBE00022,"Like most of the responses here, I felt relieved. Thinking about world peace, this act must not be allowed. Problems that North Korea has caused between the other countries are not only this, there are many others. Governments of Japan and other countries must more strongly condemn the country."
NBE00023,"I think that North Korea should use more money for food for the citizen, too. They should do that for their country's stability. Thinking about our history, there were many governments that failed because they ignored their citizen's feeling. Even if they have the strong army, they should not think lightly about citizen's power. For example, they should think about the Arab Spring."
NBE00024,"I was relieved to hear that North Korea failed to launch the missile. Always we can't predict North Korea's action, besides the interior of there is lack of stability now by changing leader, so we should pay attention more."
NBE00025,"It was a relief to hear that none of the people has been affected by the rocket. But my primary concern is other countries' nuclear test. 3 days ago, India launched a missile. It cannot say that India may do and North Korea must not do. We must not launch a missile whatever the reason we have."
NBE00026,"I'll revise my opinion to receive criticism from ID12047. Partly, I agree with ID12047. Japan should also persuade China into joining in United Nations Security Council's resolution in order to show much stronger condemnation. But, in reality, it's very hard job. China is said to gain much profit from trade with North Korea. If so, Japan will continue to take strong measure to stop North Korea's provocative action."
NBE00027,"I thought that North Korea doesn't govern to the people, though its name is Democratic People's Republic of Korea. After I saw this news, my opinion is more strong. North Korea have to spend money to destroy the nuclear energy's factory and solve starvation."
NBE00028,"When I heard this news on TV, I was terrified and gave up on North Korea. Whatever reason they have, they must not launch long-range rocket. Because Launching long-range rocket must be a factor threatening world peace, of course around Asia. I think North Korea will try to launch long-range rocket again. We shouldn't miss their action."
NBE00029,"I think the Japanese government has a serious problem. When North Korea's long-range rocket launched, America got information about launch immediately. But, Japan took much time to confirm the launch. I fear that if North Korea's long-range rocket breaks up above Japanese territory. So, I think Japan should take a hard look at crisis management."
NBE00030,"North Korea's government says the every people agree with current politics, but it has many problems -exile, Illness and hunger, for example-. I think the highest priority should be given to the health and happiness of the people!"
NBE00031,"I think it is very terrible that North Korea's rocket broke up around Japanese territory. If it had become reality, we might have suffered damage. And I think, if it were not for countries like North Korea, our world would be peaceful."
NBE00032,"As lest of others comment on the blog, I was also relieved of the failure of the DPRK's launching the missile. But, I think most Japanese does not realize the threat of that since they, I mean DPRK, always fail to do such a thing. Maybe that is not good thing so, we Japanese need to be more aware of it."
NBE00033,"In my opinion, we should think this problem from various angles. To be sure, North Korea should be imposed some sanction from other countries, as it disturbed order. If economical sanctions will be imposed, however, many people in North Korea will suffer from hunger and poverty. I wonder if people who are blameless should be punished. I think the most important thing is to show North Korean government how to manage itself and to go along with other countries."
NBE00034,"I have my opinion that however North Korea's rocket launch gave rise to criticism all over the world, North Korea will launch rocket again. But because of criticism by countries around North Korea, North Korea will fail to achieve its aim, supply of food and money and oil and so on."
NBE00035,"This North Korea's rocket made me think anew that North Korea is a very dangerous country. I think that they have more important things to do than reinforcement of military affairs, such as improvement of citizen's poverty and hunger. The launch failed, but I think they will launch a rocket again. In case of it, Japan have to be more careful and prepare systems perfectly."
NBE00036,"I have been interested in North Korea. So I was very surprised at this news when I heard it first time. I thought something might changed better after Kim Jong Il's death in North Korea. In fact, however, nothing changes against what I thought. Rather, North Korea goes worth. Someone should revolutionize the structure of North Korea. The launch of rocket failed this time. But North Korea is still serious threat to Japan. So we must pay attention to North Korea."
NBE00037,"I think this launch accelerate North Korea's isolation in the world. The ""satellite"" cost a lot of money that would improve the people's life such as food, health and education. In the country, lot's of children around my age are starving and only a few upper class people lead a luxury life. Japan have to make effort to improve the situation."
NBE00038,"Luckily, this time the launch project has failed. But there's no guarantee that next time the result will be the same. Needless to say its very dangerous. Japan must continue to do economic sanction, and we Japanese should be cautious about that country."
NBE00039,"When I first heard this news on TV, I really felt sorry for the North Korean citizens who suffer from hunger and insanitary conditions. The governments of this company never try to use their money to solve such problems, or even more, they spend a lot of money launching those rockets. . . . which will never be of use."
NBE00040,I am interested in North Korea. I felt relieved that there were no casualties. And the horror of North Korea was felt again. The government of Japan should addressed more quickly. So Japan should pay attention to North Korea carefully. I want keep more attention to the news.
NBE00041,"Despite North Korea's provocation fell to the failure, they will continue to provoke. The countries bordering North Korea such as South Korea and China are now undergoing severe political changes, North Korea will never disregard this chance. I think not only bordered countries but UN have to intensify the pressure toward North Korea to stop it's provocation."
NBE00042,"When North Korea failed to launch the rocket, Japanese government failed also. It failed to get information about the rocket. It didn't know whether the rocket was launched or not, and needless to say, whether the launch was succeeded or not. I suspect Japanese government have the ability to save Japanese people in a crisis."
NBE00043,"At first, I thought it became safer after North Korea failed to launch the missile. A sense of security that Japan has a great technique reliably enough to intercept the missile supported my thought. But an article which I read after the english class made my mind. The article said that Japan has a 80% success rate in intercepting the missile. I was very shocked about it. If North Korea succeeded in launching the missile, it produced a number of casualties 20% of the time! We cannot guarantee that next time will be safe like this time so I thought Japan should improve the technique of interception as soon as possible."
NBE00044,"Having read this article, I recognized the sense of crisis and thought about what Japan should do to cope with it. But, what I want to say is that Japan should not just criticize North Korea for conducting things such as launching missiles but should try to know why they are doing this kind of provocation, and then we should find a solution."
NBE00045,"I think the main purpose of North Korea's long-range rocket launching was to boost national prestige and to congratulate Kim Jong-Un for assuming the new leader. However North Korea's rocket launch failed. This failure to launch the rocket showed that North Korea lost prestige in a new order. Therefore I'm worried that North Korea will carry out the third nuclear test. Japanese government should watch out North Korea's action continuously. Concerning Japanese government reaction this time, I agree with ID12031's opinion. Japanese government needs to reexamine the ways of providing people with information to save nation."
NBE00046,"I'm relieved to hear that North Korea's long-range rocket failed, but also I feel very scary. There are some reason. First, I believe international relations is not good between North Korea and Japan. As everyone knows, there is the issue of abducted Japanese taken to North Korea. Some North Korean doesn't like Japanese, and it makes situation worthier. If a launch is successful next time, it is obvious that Japan would be threatened more than now. Second, I think North Korea takes pride in own country and abilities, and this failure will lead them to make better rocket enthusiastically. I expect they will try hard again and again and success in launching a rocket in near future. It scared me a lot. To cope effectively with a terrible situation, I consider that Japan should gather more information about them. Only a few information, we are not able to do anything good for Japan."
NBE00047,"When I heard that North Korea planned to launch the rocket, I was indignant at a lack of repentance. If I remember correctly, this is the third time to launch the rockets or missiles without the approval of North Korea's neighbors, like Japan. I speculate that this launch is for celebrating Kim Il Sung's birthday or appealing Kim Jong-Un's authority. Also I guessed that it would not be going to be well, so my guess was exactly right. Now, I am relieved that no one was killed in this matter. But I am afraid for the safety of the scientists of North Korea. Because the leaders have executed cruelly many people made blunders or resist the government. Since the leader changed, this action has been activated. If worst comes to worst, they have already died. North Korea may run a nuclear test or launch the rocket again in the future. In order to save the nation certainly, I suggest that the Ministry of Defense improve the system to announce. And needless to say, we should keep to paying special attention to this matter."
NBE00048,"As the article said, North Korea's long-range rocket failed. I am relieved to hear that. However, now I am worried about what North Korea does next. If they are going to make new rocket, it will make matters worse. I really want to say that Japanese government should think about North Korea's actions."
NBE00049,"Failure of the launch of the missile made me relieved. However North Korea is still furthering military development, so there are some uneasiness left. Military affairs of Japan is not prepared, so Japan will be threatened in North Korea. To solve this@@@Japan should elaborate the armament and the measure for protecting its own country rather depending on foreign countries."
NBE00050,"Many people say that they feel safer after North Korea failed the rocket launch, but I am not one of them. I am rather afraid that North Korea creates another rocket, likely to be a stronger one, to actually attack Japan. I think that the Japanese government has to be more desperate to prepare for anything that can happen. It is very important that the government makes Japanese citizens always aware of the danger they are facing and have them ready for escape."
NBE00051,I think North Korea will make a better rocket next time from experience of this failure. Japan should have a better military to protect own country.
NBE00052,"I felt worried about North Korea's future. Because I would expect Kim Jong-Un to reset his country, govern people to guarantee good life of people but he ordered rocket launch. To launch rocket and nuclear missile means North Korean people is more severe life. Now North Korea is further isolating itself by engaging in provocative acts. I think that many countries, especially China and Russia should put pressure on North Korea."
NBE00053,I was relieved to hear the news and I want to ring an alarm bell. Certainly North Korea failed to launch the missile. But a nuclear test will be made again. The national government did not show North Korea strong manner. I think this is the problem.
NBE00070,I disagree because I think that Senkaku island is Japan's island.
NBE00071,I think that Japanese government is really weak about diplomacy. So I think we need a strong leader like Mr. Ishihara.
NBE00054,"It is fear to have felt, when I looked at this news for the first time. Although the missile test went wrong this time, next, it may succeed. If it is a nuclear missile, Japan destroys completely. Therefore, a foreign country needs to put pressure more. So I think it is a international problem."
NBE00055,"I felt that even if the leader was changed, North Korea didn't change, or even got worse. The old-fashioned political system in this country need reformation, and should be democratized. To realize this, the most important partner of the North Korea, China should make move to change this country, but I think it is difficult."
NBE00059,i also think it is very terrible that North Korea's rocket broke up around Japanese territory
NBE00060,i think Japan should not have a better military to protect own country.
NBE00061,I think North Korea's rocket is terrible.
NBE00068,"I am worried whether scientists concerned with this failure will be killed. As soon as Kim Jong-Un get this state, he purgeD a high officer who had made a mistake. Therefore I think that he may purge the scientists too."
NBE00065,"I strongly agree with this comment. Japan is near North Korea and Japan has no organization for battle. Of course, pacifism is very important and indispensable, but I thought that how we deal with the problem of nuclear terror. At the same time, I like South Korea, so I care about the country and issue of north and south."
NBE00066,"I partly disagree with the opinion above. I suppose what we Japanese must do first to deal with the problem is to talk with them. We lack that effort. Japan has declared not to have the force in order to keep its country safe. As a world's first model, we Japanese should think the way to solve such problem without the military force."
NBE00067,I think nuclear weapons are frightening. Abolition of nuclear weapons should.
NBE00069,"According the article , North Korea's long-range rocket failed. I hear the news, I feel relieved."
NBE00062,"I think, this news is so terrible. In fact, North Korea's rocket launch failed. But, if North Korea complete this technology, they surely aim at Japan. I'm afraid of that. And, I get angry at Japanese government. North Korea is near to Japan. But, information about this happening was so slowly. The government have to tell important things to nations more quickly."
NBE00058,"This time their rocket launch failed, and we are relieved to hear that. But it is not sure whether they will fail again next time. so we should prepare. But we can't shoot down their missile without other nation's help. In this case, it was US surveillance satellites that monitored the launch. And needless to say, we should maintain good international relations with China and South Korea. It is impossible to keep North Korea from using a nuclear weapon and assaulting other countries, without the cooperation of all nations. But should North Korea alone be condemned ? Many countries still have a nuclear weapon and other dangerous weapons. They don't use them now, but no one can declare that they will not use them forever. Certainly, North Korea is dangerous. But we shouldn't forget North Korea is not the only one nation that is dangerous."
NBE00063,"When I heard the news, I was very surprised. I was anxious for the launching. I want North Korea to behave on common sense and don't want them to make world dangerous. Also I think Japanese authority should have courage to say no to them."
NBE00064,"I agree with the opinion because I think Japanese diplomacy as weak knee. Japan will be worried, if the stance change."
NBE00056,"Many people make fun of North Korea's failure in launching the rocket but because their military powers are quite violent, no one will be laughing when they succeed. I thought that North Korea's experiment in launching the rocket was fearing for Japan as we do not have military powers to fight back."
NBE00057,"Many people are forced to live a poor life in North Korea but still they cry when Kim Jong II died and they have high respects for their leader. I think this is because they don't know how the government works in other country and how people live in those country. I think that if North Korea has a money to make weapons, government should use those money to help nation have a better living. This missile problem might seem like it is a problem between North Korea and the country around North Korea but I think this is a problem essential to settle, to make North Koreans living better too."
NBE05556,"I feel so terrible. If Japan might be attacked by North Korea with rocket, I couldn't sleep easily. I want to be peace."
NBE06810,"It is lucky that nobody got injured this time, but if the North Korea restart testing nuclear weapon we have to be aware of them always. That means we will have to carry so much stress in our life. Needless to say that is not the way people live, so we have to solve the problem immediately."
NBE05528,"North Korea should realize that they have been accused of their action by many countries. And, they are received an economic sanction, so they should refrain from provocative behavior. But, we can not solve the problems only by sanction. We have to negotiate with them positively."
NBE05992,We do not never do war. Even if we are attacked by rocket launch which made in North Korea. Because we know it's terrible to do war by our experiences. So we should talk to them and find peaceful resolution.
NBE06921,"I feel relieved to hear the news that the launch failed. Also I think we have to be a good terms with North Korea. If North Korea has hostility for us, North Korea may try to fire the rocket again"
NBE06383,"I think that Asian countries around North Korea should impose sanctions on that country. As it is, North Korea repeat rocket launch."
NBE05968,I think so too. I can't speculate what their plot to do next too. So we should think about them carefully. We must not look at this problem as bystanders.
NBE02055,"I can't assert that North Korea is bad completely. Because, confusion of the Korean Peninsula was caused by Japanese Occupation and confrontation of the U. S. and the Soviet Union. So, Japan, U. S. and Russia have to walk up to North Korea, and think together about what should we do to each other. We have to give to North Korea a chance without speculation of major powers."
NBE02708,"I think that development of technology should not always be criticized by others because some technologies are useful for many people. But this development of rocket makes situations of other nations which are the outskirts of North Korea such as Korea, China, and Japan bad and so dangerous. North Korea spends so much money for developments, on the other hand, the people of the country are hungry and starved. They are not only given wealth but also information. In short, they are also victims. So, I think it is necessary to give them chances that will change the system of the country by providing them with information of the whole world."
NBE01308,"I think North Korean couldn't withdraw their remarks. If this case continue in the future, they may not be able to do such things which is more serious. In this point, they resemble old Japan which couldn't do the same things. So I think Japan can act to soothe them as one who can understand their thought. We need to pay attention to Japanese government action, not only to North Korean or American's one."
NBE01539,"Many country recognizes that we should use nuclear weapons as a means of the deterrent, but North Korea tried to use these weapons. In this case, I think that conversation with North Korea is very important. We should offer North Korea that if it stops provocative actions, we offer much economical and materially assistance. The most important thing is the life of people of this world, so I think strategic contract with North Korea is needed."
NBE01850,"I fear North Korea. They have a core and a ballistic missile. A missile can be struck if it thinks that they will strike to Japan. In North Korea, since information is shut, information is not transmitted to here. If North Korea attacks to Japan, war will start. However, since there is no information, we cannot do it at all."
NBE02811,"North Korea is one of the most dangerous countries in the world. Perhaps they do not think their behavior makes themselves isolated. Pacifism is stated in the modern world, then why do they appeal to weapons? I think they believe that having military force is important in order to increase their influence at the international level. However, this is a wrong idea. If one country wants to join the major powers, the country should discuss the world problem and be in a spirit of cooperation. Consequently, I resolutely oppose the action of North Korea."
NBE02813,"I think this is a serious issue of Japanese security. Because, we have no forces to attack but only defense. However the environment is changing rapidly. We have more things to keep the peace than before. We should be a north wind not the Sun. We need to made North Korea fall silent. The world has changed. Article nine of the constitution of Japan will never protect us and maintain the peace."
NBE02808,I have absolutely no idea what North Korea's views are. I guess North Korea knows it is trigger of retaliation if they attack some country by their atomic weapon. I wonder why they do menacing behavior. Japan as a neighbor of them have to discuss this problem with all the countries of the world.
NBE02809,I cannot understand what the head of North Korea. But it must be the provocation for all countries loving peace. And they intend to catch the attention of some rich countries like Japan and US. In that way North Korean government can have Japan and US to supply living necessities.
NBE02810,"This is a very difficult problem and we should think it seriously. We also believe that movie has a big impact. North Korea is one of the hardest to please countries, so I do not want these hostile mood to last and I hope good relationship between countries."
NBE02812,"Is there any necessity to consider the North Korean side? I doubt. The North Korean is heretical in this international world of these days. Taking a conciliatory attitude toward them is not good, I think."
NBE00088,I can't understand how the people want to do cosmetic procedure feel. I shudder at the mere mention of it. Bury the implant in own face? Its so horrible!
NBE00084,"I don't understand the necessity of changing one's face through cosmetic-surgery. Patients have to run a risk as well as pay much money. If they want to restore their youthful look, they can have massages instead of cosmetic surgeries. They must be safer though it costs money and time."
NBE00094,I don't know whether cosmetic-surgery is right action or not. But I believe that it has a big risk to hurt our body. I want to change my body but I will not to change it because it is too dangerous.
NBE00103,"I agree with the cosmetic surgery. Because I think it's natural for people to want to get beauty and being confident in own looks is very important. Actually, people appearing on TV program featuring plastic surgery often look lively and nice after the operation. So I also think cosmetic procedure including ""chin jobs"" is one of ways to live happily for us and no one can criticize for that action."
NBE00147,"i think it is really hard say whether cosmetic surgery is right or wrong. because as ID12028 say, it is natural that people wants to be beautiful and also other people say surgery involves high risk. but i believe if person wants to be beautiful he/she should do surgery because advance in medical technology can get rid of person's unconfident looks and make person's life happier. . . . . . maybe. . . ."
NBE00151,"I didn't agree with the cosmetic-surgery at first because it cost a lot like 1 million yen for just one, small operation. I thought it's waste of money and we should use the money for something else. But as ID12028 said, it's natural for people to want to get beauty. Some are not satisfied with their looking and envy their nice-looking friends. And in some cases, so-called ugly students become the target of bullying. So I understand their feeling. But I still cannot agree with the liposuction because it's just the result of lack of effort. If people want to get thin, they should reconsider their dietary habit and start exercising not just depending on surgery. I know some people cannot lose their weight because of some kind of diseases but in most of the cases, I guess such people are overeating. Anyway, I can agree with cosmetic-surgery except for liposuction."
NBE00150,"sorry, ""1 million yen"" is correct"
NBE00105,"To tell the truth, I don't really care whether they do cosmetic surgery or not. We humans have the right to chose whatever we wanted to do, so it's up to the individual choice. But if I were asked to do cosmetic surgery, I definitely won't do that. It seems very painful to me and, moreover, I feel sorry for my parents by hurting the body they gave me. But if an individual can augment happiness of his/her life by doing cosmetic surgery, I can't stop them. You only live once. Just try what you think is the best !!"
NBE00132,"I think it is personal liberty, so that it is up to her/him as ID12029 said. She/He do cosmetic surgery because she/he doesn't like her/his look and doesn't have confidence for her/himself. If she/he has a lot of money, it would not be a problem at all. ID12015 said he can't understand at all why they do cosmetic surgery, however, I can understand their feelings. To tell the truth, I did straightening teeth, and I believe it is similar to cosmetic surgery. Many women want to be more beautiful any time. We do diet and make efforts, for example, however, our efforts are all for nothing sometimes. It's so vain. These days, technology has been developed day by day, so I think she/he who want to be change should try cosmetic surgery once. I bet her/his life would be different from the past."
NBE00139,"I agree with ID12029 and ID12049's idea. Whether you have plastic surgery or not depends on individual liberty. If you want to become beautiful, you might have plastic surgery after deeply thinking risk of it failing. What is more important than this, you should not have prejudices against the people who have plastic surgery. Especially in Japan there is the number of the people who have biased view against plastic surgery. Incidentally I don't want to have plastic surgery because I am very afraid of being operated."
NBE00086,"I think it dependent on the person whether cosmetic-surgery is carried out. In Japan, many people want to change their bodies. It is natural to want to become more beautiful. But I don't think so. This is because I want to take good care of myself."
NBE00137,"I am sure there are a great number of people who wish to be more beautiful and imagine the result of cosmetic surgery. It is natural that living people seek the beauty. But I hear that it is too expensive and so risky that they tend to hesitate to have surgery. And, as ID12055's opinion, Generally Japanese tend to scorn people who underwent surgery. For example, some actresses whose figures have changed obviously are criticized on the Internet. I think this is the biggest issue about cosmetic surgery. We should be more tolerant to this matter. Whoever hopes and afford to have surgery ought to carry out without any hesitation. By the way, if I get rich in the future, I may hope surgery."
NBE00098,"I heard that straightening our teeth helped us build up our health. I don't think too much cosmetic surgery is good, but I don't clearly say that cosmetic surgery should not done. Having cosmetic surgery makes people feel confident and happy."
NBE00126,"I don't think I want to do cosmetic procedure because it costs a lot, and it's dangerous. But I can understand why many people want to do it. Of course, I admire the person who is a handsome. In the end, I think it's free to do cosmetic surgery or not."
NBE00114,"I think cosmetic surgery is a way to lead a better life. If you do cosmetic surgery and can make your life better, it will be meaningful deed. However, even though you change your face, you can't your life unless you change yourself. And it costs a lot and may be dangerous. So you should drop into deep thought before you do cosmetic surgery."
NBE00111,"Cosmetic surgery occasionally fails. So, this procedure has risks. But, I have no reason to disagree with cosmetic surgery. There are a lot of people who worry about their own looks. For some people, this problem influences their lives and works. So, I think it is inexpensive to dissolve these problem to spend money. Anyway, cosmetic surgery is a personal matter. Other people shouldn't interfere. If we undergo cosmetic surgery, we should do our responsibility and judgment."
NBE00128,"I don't think people should not have cosmetic surgeries. Whatever we say, we are likely to judge others from their appearances. Therefore some people have senses of inferiority as they don't want to live any more. If they thought that they couldn't live without having cosmetic surgery, I think that will be OK. So I generally agree with cosmetic surgeries. But some people depend on cosmetic surgeries, run through their entire money, fail surgeries, repeat it endlessly, and fall into what we call 'cosmetic surgery hell'. Although I don't deny cosmetic surgeries, in order not to be in such traps, people should consider it again and again before having cosmetic surgeries."
NBE00122,"I think cosmetic surgery is very important to some person. Because it becomes a tool in order to lead a good life. When I dislike my face, it may be able to lead the life it is better to cosmetic surgery. So I think cosmetic surgery is not but."
NBE00091,"To be sure cosmetic surgery may be important to some people. I can understand their thought. But I can't think cosmetic surgery is good. At least I have not thought I want to do that. As many people said, cosmetic surgery cost a lot and is very dangerous. Doing something to body is very awful for me, even that is normal surgery."
NBE00095,"I don't think plastic surgery is bad. I'm not woman, but I can understand of hoping to be beautiful. One of my eyelids is with no fold, and other is double-fold. I really dislike them! Men feel beautiful to the symmetry things. So my face is not beautiful I think. I think if their problems can be solved by money, it's so good. It's the best way, no one feel sad, everyone feels happy, if you understand operations' danger."
NBE00090,"I think it's unnecessary to change each face. I have never thought that I'm handsome, and It's the natural that everyone wants to be handsome, pretty, beautiful, or nice face, however we should accept each inborn face. However ugly your face is, someone loves you!! In addition cosmetic surgery cost a lot and it's unsafe. In short I think it's needless"
NBE00096,"I can understand feeling of people who want cosmetic surgery, but I don't want to do cosmetic procedure. Because it take a lot of money and it's very dangerous. I think everyone should have confidence to face more. I looked at the picture of Bruce Forsyth, I was surprised at the size of his chin."
NBE00093,Thinking to want to restore our youthful look is good . So I think cosmetic surgery is not bad. However cosmetic surgery hurts our bodies and it's very dangerous. Under certain circumstances we died from cosmetic procedure. So I think cosmetic surgery is not worth taking risks.
NBE00101,Cosmetic surgery has been popular recently in the world. I think it should be important if surgery is not endowed from the parent face. I want my children to cosmetic surgery is not absolute.
NBE00085,"I suppose that these kinds of cosmetic surgery will be more popular in several years , and that not only in the US but in Asian countries such as China, South Korea etc, the demands for them will be rapidly increasing year after year. Today, these operations still cost too much, but as the technology is improving, these cost will lessen and many more people will undergo them without thinking seriously."
NBE00092,"I think that we have freedom of choice. But it costs patients a lot of money to be operated on for cosmetic surgery and maintain their bodies or face. Furthermore, as the article, if people are operated, most of them come to want to be modify other parts. In the end, their bodies or face will lose their shapes. It is true that if you are operated, you may be beautiful and gain confidence. However, it is the only short term. So I strongly believe that it is better that you aren't operated."
NBE00083,"A chin is charge of various functions such as mastication. Thus if we have cosmetic surgery on our chin, we may look nice, but the original functions may decline at the same time. I think we shouldn't have cosmetic surgery which exposes us to health hazards."
NBE00112,"In Japan, implants are unusual surgery. The patients try to hide that they did cosmetic surgery. This is because Japanese environment can't accept cosmetic surgery as a usual thing. On the other hand, in America or Korea, many people do cosmetic surgery in order to become younger. It shows that America has many kinds of people in country, so that they are used to accept different points of each other. This is one of the good points of American culture. At this point, I think Japan should learn this culture."
NBE00136,I think it is okay to do cosmetic surgery if the person wants to do and need it. It is expensive and dangerous so I would not recommend the person to do so unless if the person really needs to.
NBE00113,"I myself don't want to do cosmetic surgery. I think what the person is like is far more important than how he/she looks. On the other hand , I admit that there is a opinion such that ones first impression is quite important and it's greatly depend on ones features. So, I don't care other people do cosmetic surgery."
NBE00133,I think that the cosmetic surgery will damage your body or heart sometimes. The result after taking the surgery might be different from your ideal. I recommend that the person who wants to have cosmetic surgery need to think about that danger. I do not want to have the surgery because I feel so dangerous to have the surgery.
NBE00131,"I think that it is individual freedom. Desire to become beautiful is a natural thing. Even if it is able to sympathize, I don't want to have plastic surgery. Plastic surgery is different from makeup or diet, I feel like it is denying oneself. Moreover life does not necessarily become bright just because you have plastic surgery. Not only appearance but an inside is important. Things will turn out fine if you have enough determination."
NBE00140,"I think people who have plastic surgery abandon themselves. If you want to look better, you need to make extra special efforts. I never thought of having plastic surgery, but I have been trying various things to look better such as doing some running and restricting the amount of food for reducing fat. People should confront themselves and do their best to get better look."
NBE00134,"When I read this article, I think this news shows how Japanese and people around world feels about plastic surgery. I had read the article that 80% of Korean have plastic surgery (Not sure all Korean or only women). Also, many of them publicize that they had plastic surgery. On the other hand, Japanese want to hide whether they had plastic surgery. I think this is one of examples that show Japanese ""shame"" culture."
NBE00077,"I think that plastic surgery is no good. Faces are one of most characteristic parts of people. To process them would confuse their relationships, have a bad influence. When you want to change yourself, you should improve your inside."
NBE00089,"I can understand why there are people who would like to change their body or face by plastic surgery. They believe that if they get their ideal bodies and faces, they could get their ideal lives. But, I think that plastic surgery is not good. Our bodies and faces are given by our parents. If we change our bodies and faces by performing operations on those, they must unpleasant. So, I don't think I would like to have any plastic surgeries."
NBE00082,"I oppose the idea of changing faces and bodies artificially. The effect of cosmetic surgery is not permanent. That is why some people is compelled to have surgery again and again. As a result, they could lose their identity. I argue that you should accept your appearance and make an effort to development many thing except for your one. Then you can get your confidence."
NBE00075,"I have some complex with my face. But I haven't want to have plastic surgery. Because my face is important identity of myself. If you change your face and body by plastic surgery, it means that you lose your identity. If you change your face, you lost reliance and have more complexes about your looks. So I think that plastic surgery should not be done in any account."
