Biber	category	subcategory	pattern	regex
3.1a	stance verb + (that) clause	epistemic verbs - certainty	find (that)	[^_ ]+_V[^_]{1,3}_find\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	know (that)	[^_ ]+_V[^_]{1,3}_know\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	learn (that)	[^_ ]+_V[^_]{1,3}_learn\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	mean (that)	[^_ ]+_V[^_]{1,3}_mean\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	notice (that)	[^_ ]+_V[^_]{1,3}_notice\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	observe (that)	[^_ ]+_V[^_]{1,3}_observe\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	prove (that)	[^_ ]+_V[^_]{1,3}_prove\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	realise (that)	[^_ ]+_V[^_]{1,3}_realise\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	recognise (that)	[^_ ]+_V[^_]{1,3}_recognise\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	remember (that)	[^_ ]+_V[^_]{1,3}_remember\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	see (that)	[^_ ]+_V[^_]{1,3}_see\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	show (that)	[^_ ]+_V[^_]{1,3}_show\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	undertand (that)	[^_ ]+_V[^_]{1,3}_understand\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	assume (that)	[^_ ]+_V[^_]{1,3}_assume\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	believe (that)	[^_ ]+_V[^_]{1,3}_believe\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	doubt (that)	[^_ ]+_V[^_]{1,3}_doubt\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	gather (that)	[^_ ]+_V[^_]{1,3}_gather\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	guess (that)	[^_ ]+_V[^_]{1,3}_guess\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	hypothesise (that)	[^_ ]+_V[^_]{1,3}_hypothesise\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	imagine (that)	[^_ ]+_V[^_]{1,3}_imagine\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	predict (that)	[^_ ]+_V[^_]{1,3}_predict\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	presuppose (that)	[^_ ]+_V[^_]{1,3}_presuppose\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	presume (that)	[^_ ]+_V[^_]{1,3}_presume\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	reckon (that)	[^_ ]+_V[^_]{1,3}_reckon\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	seem (that)	[^_ ]+_V[^_]{1,3}_seem\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	speculate (that)	[^_ ]+_V[^_]{1,3}_speculate\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	suppose (that)	[^_ ]+_V[^_]{1,3}_suppose\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	suspect (that)	[^_ ]+_V[^_]{1,3}_suspect\s?
3.1a	stance verb + (that) clause	epistemic verbs - likelihood	think (that)	[^_ ]+_V[^_]{1,3}_think\s?
3.1a	stance verb + (that) clause	Attitude verbs	agree (that)	[^_ ]+_V[^_]{1,3}_agree\s?
3.1a	stance verb + (that) clause	Attitude verbs	aniticipate	[^_ ]+_V[^_]{1,3}_anticipate\s?
3.1a	stance verb + (that) clause	Attitude verbs	complain (that)	[^_ ]+_V[^_]{1,3}_complain\s?
3.1a	stance verb + (that) clause	Attitude verbs	concede (that)	[^_ ]+_V[^_]{1,3}_concede\s?
3.1a	stance verb + (that) clause	Attitude verbs	ensure (that)	[^_ ]+_V[^_]{1,3}_ensure\s?
3.1a	stance verb + (that) clause	Attitude verbs	expect (that)	[^_ ]+_V[^_]{1,3}_expect\s?
3.1a	stance verb + (that) clause	Attitude verbs	fear (that)	[^_ ]+_V[^_]{1,3}_fear\s?
3.1a	stance verb + (that) clause	Attitude verbs	feel (that)	[^_ ]+_V[^_]{1,3}_feel\s?
3.1a	stance verb + (that) clause	Attitude verbs	forget (that)	[^_ ]+_V[^_]{1,3}_forget\s?
3.1a	stance verb + (that) clause	Attitude verbs	hope (that)	[^_ ]+_V[^_]{1,3}_hope\s?
3.1a	stance verb + (that) clause	Attitude verbs	mind (that)	[^_ ]+_V[^_]{1,3}_mind\s?
3.1a	stance verb + (that) clause	Attitude verbs	prefer (that)	[^_ ]+_V[^_]{1,3}_prefer\s?
3.1a	stance verb + (that) clause	Attitude verbs	pretend (that)	[^_ ]+_V[^_]{1,3}_pretend\s?
3.1a	stance verb + (that) clause	Attitude verbs	require (that)	[^_ ]+_V[^_]{1,3}_require\s?
3.1a	stance verb + (that) clause	Attitude verbs	wish (that)	[^_ ]+_V[^_]{1,3}_wish\s?
3.1a	stance verb + (that) clause	Attitude verbs	worry (that)	[^_ ]+_V[^_]{1,3}_worry\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	announce (that)	[^_ ]+_V[^_]{1,3}_announce\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	argue (that)	[^_ ]+_V[^_]{1,3}_argue\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	assert (that)	[^_ ]+_V[^_]{1,3}_assert\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	claim (that)	[^_ ]+_V[^_]{1,3}_claim\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	contend (that)	[^_ ]+_V[^_]{1,3}_contend\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	declare (that)	[^_ ]+_V[^_]{1,3}_declare\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	emphasise (that)	[^_ ]+_V[^_]{1,3}_emphasise\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	explain (that)	[^_ ]+_V[^_]{1,3}_explain\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	imply (that)	[^_ ]+_V[^_]{1,3}_imply\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	insist (that)	[^_ ]+_V[^_]{1,3}_insist\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	mention (that)	[^_ ]+_V[^_]{1,3}_mention\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	promise (that)	[^_ ]+_V[^_]{1,3}_promise\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	propose (that)	[^_ ]+_V[^_]{1,3}_propose\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	recommend (that)	[^_ ]+_V[^_]{1,3}_recommend\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	remark (that)	[^_ ]+_V[^_]{1,3}_remark\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	respond (that)	[^_ ]+_V[^_]{1,3}_respond\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	say (that)	[^_ ]+_V[^_]{1,3}_say\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	state (that)	[^_ ]+_V[^_]{1,3}_state\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	suggest (that)	[^_ ]+_V[^_]{1,3}_suggest\s?
3.1a	stance verb + (that) clause	Speech act and other communication verbs	tell (that)	[^_ ]+_V[^_]{1,3}_tell\s?
3.1b	stance verb + to-clause	probability (likelihood) verbs	appear to	[^_ ]+_V[^_]{1,3}_appear\sto_TO_to\s?
3.1b	stance verb + to-clause	probability (likelihood) verbs	happen to	[^_ ]+_V[^_]{1,3}_happen\sto_TO_to\s?
3.1b	stance verb + to-clause	probability (likelihood) verbs	seem to	[^_ ]+_V[^_]{1,3}_seem\sto_TO_to\s?
3.1b	stance verb + to-clause	probability (likelihood) verbs	tend to	[^_ ]+_V[^_]{1,3}_tend\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	assume to	[^_ ]+_V[^_]{1,3}_assume\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	believe to	[^_ ]+_V[^_]{1,3}_believe\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	consider to	[^_ ]+_V[^_]{1,3}_consider\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	epect to	[^_ ]+_V[^_]{1,3}_expect\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	find to	[^_ ]+_V[^_]{1,3}_find\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	forget to	[^_ ]+_V[^_]{1,3}_forget\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	imagine to	[^_ ]+_V[^_]{1,3}_imagine\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	judge to	[^_ ]+_V[^_]{1,3}_judge\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	know to	[^_ ]+_V[^_]{1,3}_know\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	learn to	[^_ ]+_V[^_]{1,3}_learn\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	presume to	[^_ ]+_V[^_]{1,3}_presume\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	pretend to	[^_ ]+_V[^_]{1,3}_pretend\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	remember to	[^_ ]+_V[^_]{1,3}_remember\sto_TO_to\s?
3.1b	stance verb + to-clause	cognition/perception verbs (likelihood)	suppose to	[^_ ]+_V[^_]{1,3}_suppose\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	agree to	[^_ ]+_V[^_]{1,3}_agree\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	choose to	[^_ ]+_V[^_]{1,3}_choose\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	decide to	[^_ ]+_V[^_]{1,3}_decide\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	hate to	[^_ ]+_V[^_]{1,3}_hate\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	hesitate to	[^_ ]+_V[^_]{1,3}_hesitate\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	hope to	[^_ ]+_V[^_]{1,3}_hope\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	intend to	[^_ ]+_V[^_]{1,3}_intend\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	like to	[^_ ]+_V[^_]{1,3}_like\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	love to	[^_ ]+_V[^_]{1,3}_love\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	mean to	[^_ ]+_V[^_]{1,3}_mean\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	need to	[^_ ]+_V[^_]{1,3}_need\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	plan to	[^_ ]+_V[^_]{1,3}_plan\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	prefer to	[^_ ]+_V[^_]{1,3}_prefer\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	prepare to	[^_ ]+_V[^_]{1,3}_prepare\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	refuse to	[^_ ]+_V[^_]{1,3}_refuse\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	want to	[^_ ]+_V[^_]{1,3}_want\sto_TO_to\s?
3.1b	stance verb + to-clause	desire/intention/decision verbs	wish to	[^_ ]+_V[^_]{1,3}_wish\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	allow to	[^_ ]+_V[^_]{1,3}_allow\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	attempt to	[^_ ]+_V[^_]{1,3}_attempt\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	enable to	[^_ ]+_V[^_]{1,3}_enable\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	encourage to	[^_ ]+_V[^_]{1,3}_encourage\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	fail to	[^_ ]+_V[^_]{1,3}_fail\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	help to	[^_ ]+_V[^_]{1,3}_help\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	instruct to	[^_ ]+_V[^_]{1,3}_instruct\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	manage to	[^_ ]+_V[^_]{1,3}_manage\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	oblige to	[^_ ]+_V[^_]{1,3}_oblige\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	order to	[^_ ]+_V[^_]{1,3}_order\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	permit to	[^_ ]+_V[^_]{1,3}_permit\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	persuade to	[^_ ]+_V[^_]{1,3}_persuade\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	prompt to	[^_ ]+_V[^_]{1,3}_prompt\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	require to	[^_ ]+_V[^_]{1,3}_require\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	seek to	[^_ ]+_V[^_]{1,3}_seek\sto_TO_to\s?
3.1b	stance verb + to-clause	verbs of causation/modality/effort	try to	[^_ ]+_V[^_]{1,3}_try\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	ask to	[^_ ]+_V[^_]{1,3}_ask\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	claim to	[^_ ]+_V[^_]{1,3}_claim\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	invite to	[^_ ]+_V[^_]{1,3}_invite\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	promise to	[^_ ]+_V[^_]{1,3}_promise\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	remind to	[^_ ]+_V[^_]{1,3}_remind\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	request to	[^_ ]+_V[^_]{1,3}_request\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	be said to	[^_ ]+_VB[^_]{1,2}_be\ssaid_VVN_say\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	show to	[^_ ]+_V[^_]{1,3}_show\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	teach to	[^_ ]+_V[^_]{1,3}_teach\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	tell to	[^_ ]+_V[^_]{1,3}_tell\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	urge to	[^_ ]+_V[^_]{1,3}_urge\sto_TO_to\s?
3.1b	stance verb + to-clause	speech act and other communication verbs	warn to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	apparent (that)	[^_ ]+_JJ[^_]?_apparent\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	certain (that)	[^_ ]+_JJ[^_]?_certain\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	clear (that)	[^_ ]+_JJ[^_]?_clear\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	confident (that)	[^_ ]+_JJ[^_]?_confident\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	convinced (that)	[^_ ]+_JJ[^_]?_convinced\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	correct (that)	[^_ ]+_JJ[^_]?_correct\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	evident (that)	[^_ ]+_JJ[^_]?_evident\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	false (that)	[^_ ]+_JJ[^_]?_false\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	impossible (that)	[^_ ]+_JJ[^_]?_impossible\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	inevitable (that)	[^_ ]+_JJ[^_]?_inevitable\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	obvious (that)	[^_ ]+_JJ[^_]?_obvious\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	positive (that)	[^_ ]+_JJ[^_]?_positive\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	right (that)	[^_ ]+_JJ[^_]?_right\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	sure (that)	[^_ ]+_JJ[^_]?_sure\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	true (that)	[^_ ]+_JJ[^_]?_true\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - certainty (that)	well-known (that)	[^_ ]+_JJ[^_]?_well-known\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - likelihood (that)	doubtful (that)	[^_ ]+_JJ[^_]?_doubtful\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - likelihood (that)	likely (that)	[^_ ]+_JJ[^_]?_likely\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - likelihood (that)	possible (that)	[^_ ]+_JJ[^_]?_possible\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - likelihood (that)	probable (that)	[^_ ]+_JJ[^_]?_probable\s?
3.2a	stance adjective + (that) clause	epistemic adjectives - likelihood (that)	unlikely (that)	[^_ ]+_JJ[^_]?_unlikely\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	afraid (that)	[^_ ]+_JJ[^_]?_afraid\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	amazed (that)	[^_ ]+_JJ[^_]?_amazed\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	aware (that)	[^_ ]+_JJ[^_]?_aware\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	concerned (that)	[^_ ]+_JJ[^_]?_concerned\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	disappointed (that)	[^_ ]+_JJ[^_]?_disappointed\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	encouraged (that)	[^_ ]+_JJ[^_]?_encouraged\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	glad (that)	[^_ ]+_JJ[^_]?_glad\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	happy (that)	[^_ ]+_JJ[^_]?_happy\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	hopeful (that)	[^_ ]+_JJ[^_]?_hopeful\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	pleased (that)	[^_ ]+_JJ[^_]?_pleased\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	shocked (that)	[^_ ]+_JJ[^_]?_shocked\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	surprised (that)	[^_ ]+_JJ[^_]?_surprised\s?
3.2a	stance adjective + (that) clause	attitude/emotion adjectives (that)	worried (that)	[^_ ]+_JJ[^_]?_worried\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	amazing (that)	[^_ ]+_JJ[^_]?_amazing\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	appropriate (that)	[^_ ]+_JJ[^_]?_appropriate\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	conceivable (that)	[^_ ]+_JJ[^_]?_conceivable\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	crucial (that)	[^_ ]+_JJ[^_]?_crucial\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	essential (that)	[^_ ]+_JJ[^_]?_essential\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	fortunate (that)	[^_ ]+_JJ[^_]?_fortunate\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	imperative (that)	[^_ ]+_JJ[^_]?_imperative\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	inconceivable (that)	[^_ ]+_JJ[^_]?_inconceivable\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	incredible (that)	[^_ ]+_JJ[^_]?_incredible\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	interesting (that)	[^_ ]+_JJ[^_]?_interesting\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	lucky (that)	[^_ ]+_JJ[^_]?_lucky\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	necessary (that)	[^_ ]+_JJ[^_]?_necessary\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	nice (that)	[^_ ]+_JJ[^_]?_nice\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	noteowrthy (that)	[^_ ]+_JJ[^_]?_noteworthy\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	odd (that)	[^_ ]+_JJ[^_]?_odd\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	ridiculous (that)	[^_ ]+_JJ[^_]?_ridiculous\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	strange (that)	[^_ ]+_JJ[^_]?_strange\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	surprising (that)	[^_ ]+_JJ[^_]?_surprising\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	unacceptable (that)	[^_ ]+_JJ[^_]?_unacceptable\s?
3.2a	stance adjective + (that) clause	evaluation adjectives (that)	unfortunate (that)	[^_ ]+_JJ[^_]?_unfortunate\s?
